id,adresse,quartier,type_bien,surface,prix,prix_m2,annee,etat,date_vente
100,"Chemin Marie-Dentiere 34, 36",Plainpalais,Appartement,276.9,4550000,16430,2025,,2025
101,Route du Bout-du-Monde 11,Plainpalais,Appartement,387.9,6000000,15469,2025,,2025
102,"Chemin Marie-Dentiere 34, 36",Plainpalais,Appartement,239.0,3320000,13894,2025,,2025
103,Chemin Bram-Van-Velde 7,Plainpalais,Maison individuelle,228.0,3450000,15132,2025,,2025
104,Chemin Bram-Van-Velde 3,Plainpalais,Maison individuelle,235.0,3550000,15106,2025,,2025
105,Chemin Bram-Van-Velde 4,Plainpalais,Maison individuelle,220.0,3900000,17727,2024,,2024
106,Chemin Bram-Van-Velde 8,Plainpalais,Maison individuelle,192.0,3900000,20312,2024,,2024
107,"Chemin Edouard-Tavan 6, 8",Champel,Maison individuelle,2850.0,15300000,5368,2024,,2024
108,Chemin Marie-Dentiere 12,Plainpalais,Maison individuelle,175.0,4765000,27229,2023,,2023
109,Chemin Marie-Dentiere 6,Plainpalais,Maison individuelle,166.0,4700000,28313,2023,,2023
110,"Chemin Marie-Dentiere 34, 36",Plainpalais,Appartement,101.3,1650000,16280,2022,,2022
111,Chemin Marie-Dentiere 9,Plainpalais,Appartement,224.5,2900000,12919,2022,,2022
112,Chemin Marie-Dentiere 8,Plainpalais,Maison individuelle,166.0,4080000,24578,2022,,2022
113,Route du Bout-du-Monde 17,Plainpalais,Appartement,319.8,4300000,13446,2022,,2022
114,Chemin Marie-Dentiere 9,Plainpalais,Appartement,299.7,3220000,10746,2021,,2021
115,Route du Bout-du-Monde 11,Plainpalais,Appartement,190.3,2200000,11559,2021,,2021
116,Route du Bout-du-Monde 11,Plainpalais,Appartement,271.2,2775000,10233,2021,,2021
117,Route de Covéry 18,Meinier,Maison individuelle,283.0,4250000,15018,2025,,2025
118,"Rue de Graman 87, 89",Puplinge,Maison individuelle,1124.0,7300000,6495,2023,,2023
119,Route de Puplinge 34,Puplinge,Maison individuelle,539.0,3200000,5937,2022,,2022
120,Chemin de la Forge 37,Jussy,Maison individuelle,380.0,3470000,9132,2022,,2022
121,Chemin de Pré-Marquis 5a,Puplinge,Maison individuelle,475.0,5500000,11579,2022,,2022
122,Route de Lullier 39,Jussy,Maison individuelle,572.0,4000000,6993,2022,,2022
123,Route de Gy 48a,Meinier,Maison individuelle,270.0,4475000,16574,2021,,2021
124,Route du Vallon 50,Chêne-Bougeries,Maison individuelle,1007.0,6800000,6753,2021,,2021
125,Chemin du Nant-d'Argent 35,Cologny,Maison individuelle,1057.0,12250000,11589,2025,,2025
126,Chemin de Bessinge 17,Vandoeuvres,Maison individuelle,1058.0,6800000,6427,2021,,2021
127,Chemin Falletti 9,Chêne-Bougeries,Maison individuelle,1091.0,7000000,6416,2026,,2026
128,Chemin de la Prévôté 20,Cologny,Maison individuelle,1091.0,8479999,7773,2023,,2023
129,Chemin de Fossard 38,Chêne-Bougeries,Maison individuelle,1142.0,8300000,7268,2025,,2025
130,Chemin du Rossignol 12,Vandoeuvres,Maison individuelle,1142.0,6700000,5867,2024,,2024
131,Chemin de Fossard 47a,Chêne-Bougeries,Maison individuelle,1186.0,7200000,6071,2025,,2025
132,Avenue des Arpillières 14,Chêne-Bougeries,Maison individuelle,1212.0,7500000,6188,2025,,2025
133,Chemin du Séchard 12,Cologny,Maison individuelle,1270.0,11200000,8819,2026,,2026
134,Chemin des Sarments 8,Collonge-Bellerive,Maison individuelle,1271.0,8750000,6884,2023,,2023
135,Chemin de la Cocuaz 15,Vandoeuvres,Maison individuelle,1298.0,6800000,5239,2023,,2023
136,Chemin de Lulasse 9,Vandoeuvres,Maison individuelle,1333.0,6750000,5064,2022,,2022
137,Chemin Boissier 27c,Cologny,Maison individuelle,1367.0,9000000,6584,2025,,2025
138,Chemin du Nant-d'Argent 20a,Cologny,Maison individuelle,1383.0,9500000,6869,2024,,2024
139,Chemin de Ruth 89,Cologny,Maison individuelle,1390.0,10090000,7259,2021,,2021
140,Chemin du Château-de-Bellerive 56,Collonge-Bellerive,Maison individuelle,1404.0,12340000,8789,2023,,2023
141,Chemin de Bonnevaux 10,Cologny,Maison individuelle,1427.0,11200000,7849,2022,,2022
142,Chemin de-la-Montagne 60,Chêne-Bougeries,Maison individuelle,1431.0,7356347,5141,2024,,2024
143,Chemin de Coudrée 1,Cologny,Maison individuelle,1614.0,8500000,5266,2023,,2023
144,Chemin du Pré-Langard 25bis,Cologny,Maison individuelle,1624.0,8500000,5234,2022,,2022
145,Chemin de Ruth 115,Cologny,Maison individuelle,1636.0,8800000,5379,2021,,2021
146,Avenue Georges-Werner 5,Chêne-Bougeries,Maison individuelle,1650.0,8700000,5273,2025,,2025
147,Route de la-Capite 152,Vandoeuvres,Maison individuelle,1678.0,10785000,6427,2024,,2024
148,Chemin Boissier 29b,Cologny,Maison individuelle,1714.0,12900000,7526,2025,,2025
149,Chemin du Pré-Langard 33,Cologny,Maison individuelle,1736.0,12600000,7258,2024,,2024
150,Chemin de l'Ecorcherie 37,Vandoeuvres,Maison individuelle,1742.0,10500000,6028,2023,,2023
151,Route de Malagnou 170b,Malagnou,Maison individuelle,1766.0,9300000,5266,2025,,2025
152,"Avenue Léonard-Sismondi 12, 14, Avenue Marc-Doret 16",Chêne-Bougeries,Maison individuelle,1782.0,9750000,5471,2024,,2024
153,Route de Malagnou 168b,Malagnou,Maison individuelle,1791.0,10000000,5583,2023,,2023
154,Chemin de la Rippaz 19,Vandoeuvres,Maison individuelle,1940.0,12150000,6263,2026,,2026
155,Chemin du Joran 6,Cologny,Maison individuelle,1959.0,11350000,5794,2021,,2021
156,"Route de la-Capite 49a, 49b",Cologny,Maison individuelle,1976.0,10090000,5106,2024,,2024
157,Chemin du Nant-d'Argent 11,,Maison individuelle,2380.0,13150000,5525,,,
158,Chemin Byron 19,,Maison individuelle,2113.0,16350000,7738,,,
159,Chemin Boissier 29,,Maison individuelle,1267.0,14234100,11234,,,
160,Chemin du Nant-d'Argent 18,,Maison individuelle,2111.0,13500000,6395,,,
161,Chemin des Princes 14a,,Maison individuelle,2329.0,15500000,6655,,,
162,Chemin de Ruth 43,,Maison individuelle,1460.0,16000000,10959,,,
163,Chemin du Connétable 8,,Maison individuelle,1541.0,13000000,8436,,,
164,Quai de Cologny 72,,Maison individuelle,1860.0,15000000,8065,,,
165,Chemin du Nant-d'Aisy 9,Corsier,Maison individuelle,2276.0,12250000,5382,2024,,2024
166,Chemin du Nant-d'Aisy 16,Corsier,Maison individuelle,1603.0,9750000,6082,2023,,2023
167,Route d'Hermance 283,Anières,Maison individuelle,1500.0,8000000,5333,2023,,2023
168,Chemin de Charvel 14,Collonge-Bellerive,Maison individuelle,1535.0,11100000,7231,2022,,2022
169,Quai de Corsier 38,Corsier,Maison individuelle,1273.0,8350000,6559,2022,,2022
170,Chemin des Clapotis 6,Anières,Maison individuelle,2148.4,11322000,5270,2021,,2021
171,Chemin des Hutins 23a,Anières,Maison individuelle,1846.0,11200000,6067,2021,,2021
172,Chemin de la Marguerite 5,Anières,Maison individuelle,1079.0,8390000,7776,2021,,2021
173,Route d'Hermance 155,Collonge-Bellerive,Maison individuelle,1928.0,10511000,5452,2021,,2021
174,Chemin du Nant-d'Aisy 15a,Anières,Maison individuelle,2323.0,13000000,5596,2021,,2021
175,Route du Lac 19,Corsier,Maison individuelle,1349.0,8500000,6301,2020,,2020
176,Chemin du Port-de-Bellerive 11,Collonge-Bellerive,Maison individuelle,2229.0,12750000,5720,2020,,2020
177,Avenue des Arpillières 19,Chêne-Bougeries,Maison individuelle,1121.0,5870000,5236,2026,,2026
